"","H","C","K","D"
"75",0.976742994488452,0.0219102058792496,2,"3"
"76",0.976742994488452,0.0219102058792496,2,"3"
"77",0.976742994488452,0.0219102058792496,2,"3"
"78",0.976742994488452,0.0219102058792496,2,"3"
"79",0.976742994488452,0.0219102058792496,2,"3"
"80",0.976742994488452,0.0219102058792496,2,"3"
"81",0.92583164379894,0.0660388987381174,2.5,"3"
"82",0.92583164379894,0.0660388987381174,2.5,"3"
"83",0.92583164379894,0.0660388987381174,2.5,"3"
"84",0.92583164379894,0.0660388987381174,2.5,"3"
"85",0.92583164379894,0.0660388987381174,2.5,"3"
"86",0.92583164379894,0.0660388987381174,2.5,"3"
"87",0.92583164379894,0.0660388987381174,2.5,"3"
"88",0.92583164379894,0.0660388987381174,2.5,"3"
"89",0.92583164379894,0.0660388987381174,2.5,"3"
"90",0.92583164379894,0.0660388987381174,2.5,"3"
"91",0.92583164379894,0.0660388987381174,2.5,"3"
"92",0.92583164379894,0.0660388987381174,2.5,"3"
"93",0.92583164379894,0.0660388987381174,2.5,"3"
"94",0.92583164379894,0.0660388987381174,2.5,"3"
"95",0.92583164379894,0.0660388987381174,2.5,"3"
"96",0.92583164379894,0.0660388987381174,2.5,"3"
"97",0.92583164379894,0.0660388987381174,2.5,"3"
"98",0.92583164379894,0.0660388987381174,2.5,"3"
"99",0.92583164379894,0.0660388987381174,2.5,"3"
"100",0.92583164379894,0.0660388987381174,2.5,"3"
"101",0.76734220101272,0.176455646401399,3,"3"
"102",0.76734220101272,0.176455646401399,3,"3"
"103",0.76734220101272,0.176455646401399,3,"3"
"104",0.76734220101272,0.176455646401399,3,"3"
"105",0.76734220101272,0.176455646401399,3,"3"
"106",0.76734220101272,0.176455646401399,3,"3"
"107",0.76734220101272,0.176455646401399,3,"3"
"108",0.76734220101272,0.176455646401399,3,"3"
"109",0.76734220101272,0.176455646401399,3,"3"
"110",0.76734220101272,0.176455646401399,3,"3"
"111",0.76734220101272,0.176455646401399,3,"3"
"112",0.76734220101272,0.176455646401399,3,"3"
"113",0.76734220101272,0.176455646401399,3,"3"
"114",0.76734220101272,0.176455646401399,3,"3"
"115",0.76734220101272,0.176455646401399,3,"3"
"116",0.76734220101272,0.176455646401399,3,"3"
"117",0.76734220101272,0.176455646401399,3,"3"
"118",0.76734220101272,0.176455646401399,3,"3"
"119",0.76734220101272,0.176455646401399,3,"3"
"120",0.76734220101272,0.176455646401399,3,"3"
